reservation_id,customer_id,table_id,reservation_date,reservation_time,number_of_guests,reservation_status,special_request
1,1436,7,7/10/2015,16:45,6,COMPLETED,Quiet area
2,1180,6,12/18/2015,14:00,2,CANCELLED,Birthday
3,1138,26,8/10/2015,17:15,3,CONFIRMED,Window seat
4,362,16,8/4/2015,18:15,1,CANCELLED,
5,1609,18,9/7/2015,15:30,5,CANCELLED,
6,203,2,12/20/2015,13:00,6,CONFIRMED,Birthday
7,922,16,6/21/2015,15:30,2,COMPLETED,
8,705,18,1/11/2015,17:00,4,COMPLETED,
9,1599,7,5/26/2015,16:30,2,CANCELLED,
10,1822,16,2/10/2015,17:30,8,COMPLETED,Window seat
11,1312,28,6/22/2015,17:45,2,CONFIRMED,
12,468,6,6/10/2015,16:30,5,CANCELLED,Birthday
13,556,20,8/16/2015,16:45,6,COMPLETED,Window seat
14,257,6,5/1/2015,21:30,1,CANCELLED,
15,814,7,2/22/2015,12:00,2,COMPLETED,
16,1579,2,7/23/2015,19:00,1,CONFIRMED,Birthday
17,173,20,12/2/2015,17:30,2,CONFIRMED,Window seat
18,908,24,11/17/2015,13:15,4,CANCELLED,Window seat
19,1359,1,7/2/2015,16:45,1,COMPLETED,
20,1124,30,8/16/2015,13:15,4,CANCELLED,
21,1073,15,11/24/2015,21:30,6,COMPLETED,Quiet area
22,1649,18,2/15/2015,18:30,3,COMPLETED,Quiet area
23,622,9,1/6/2015,11:15,2,COMPLETED,Birthday
24,1409,16,9/9/2015,18:30,1,CONFIRMED,Quiet area
25,1223,26,4/29/2015,11:30,4,CONFIRMED,Quiet area
26,809,29,5/8/2015,13:45,6,COMPLETED,Window seat
27,865,9,11/17/2015,14:30,2,COMPLETED,
28,846,26,4/7/2015,12:15,4,CONFIRMED,Birthday
29,1266,4,8/20/2015,15:45,8,CONFIRMED,Birthday
30,102,1,10/1/2015,11:15,2,CONFIRMED,Birthday
31,1465,9,8/13/2015,22:00,2,CONFIRMED,
32,1011,5,4/22/2015,16:45,1,COMPLETED,Quiet area
33,1428,12,1/17/2015,16:00,8,CONFIRMED,
34,147,9,10/6/2015,18:15,6,CONFIRMED,Birthday
35,1697,27,1/7/2015,12:15,6,COMPLETED,Quiet area
36,408,8,8/24/2015,22:00,1,CANCELLED,Window seat
37,1396,16,6/9/2015,16:15,6,CANCELLED,
38,519,24,9/4/2015,21:30,2,CONFIRMED,Birthday
39,1769,29,12/8/2015,14:00,1,CONFIRMED,Quiet area
40,343,11,5/22/2015,20:00,1,COMPLETED,Window seat
41,1191,1,12/20/2015,18:15,1,COMPLETED,
42,1024,8,2/16/2015,21:30,2,CANCELLED,
43,1321,2,3/20/2015,22:00,5,CONFIRMED,Quiet area
44,1144,8,11/27/2015,16:45,5,CANCELLED,Window seat
45,734,1,3/10/2015,15:00,6,COMPLETED,Quiet area
46,1112,18,12/23/2015,18:15,4,CANCELLED,Window seat
47,663,18,8/28/2015,15:15,5,CONFIRMED,
48,606,5,5/15/2015,19:30,8,COMPLETED,
49,1503,25,4/5/2015,11:30,6,CANCELLED,Window seat
50,1349,11,10/3/2015,17:15,2,CANCELLED,Quiet area
51,1256,25,5/25/2015,16:45,2,CANCELLED,Birthday
52,1072,4,12/4/2015,12:00,2,CONFIRMED,Window seat
53,414,28,2/24/2015,18:15,1,CONFIRMED,
54,1348,19,9/8/2015,19:30,6,CONFIRMED,Birthday
55,27,8,4/17/2015,21:45,2,CONFIRMED,Quiet area
56,740,26,10/13/2015,22:45,1,COMPLETED,
57,1084,27,1/21/2015,22:00,4,COMPLETED,
58,208,7,4/29/2015,19:45,2,CONFIRMED,Window seat
59,1168,17,11/17/2015,13:45,3,CANCELLED,
60,1382,25,8/23/2015,22:45,5,CONFIRMED,Window seat
61,1127,26,7/25/2015,19:30,2,CANCELLED,Window seat
62,1912,18,6/30/2015,16:30,8,COMPLETED,Quiet area
63,1692,25,6/15/2015,20:15,6,CANCELLED,
64,1569,7,10/9/2015,22:30,6,COMPLETED,Quiet area
65,1,15,1/18/2015,15:00,6,CANCELLED,Window seat
66,14,29,6/3/2015,14:15,4,COMPLETED,
67,1883,25,10/11/2015,19:15,4,CONFIRMED,
68,320,15,3/12/2015,15:30,5,CANCELLED,Window seat
69,1662,8,6/3/2015,12:45,4,CANCELLED,Window seat
70,1482,24,6/16/2015,18:15,2,COMPLETED,
71,1220,27,11/25/2015,15:00,2,CANCELLED,
72,1598,13,1/29/2015,16:30,2,COMPLETED,Quiet area
73,1782,30,4/27/2015,22:00,2,CANCELLED,Quiet area
74,1074,2,1/22/2015,16:15,4,COMPLETED,
75,314,23,1/26/2015,21:45,3,COMPLETED,
76,455,19,8/10/2015,15:45,2,CONFIRMED,Window seat
77,975,11,10/20/2015,22:00,2,CANCELLED,Quiet area
78,817,9,9/14/2015,17:15,2,CONFIRMED,Quiet area
79,1000,18,7/22/2015,21:15,3,CANCELLED,
80,497,24,2/6/2015,15:45,3,COMPLETED,
81,1376,3,7/31/2015,17:30,2,COMPLETED,Window seat
82,1217,11,12/2/2015,11:30,5,CONFIRMED,Birthday
83,1277,20,3/16/2015,18:00,8,CONFIRMED,Window seat
84,320,22,2/13/2015,12:00,5,CONFIRMED,
85,1780,30,5/28/2015,11:30,2,CANCELLED,
86,965,10,1/12/2015,16:15,8,CANCELLED,
87,1120,7,9/25/2015,15:45,3,CANCELLED,Window seat
88,772,23,10/26/2015,21:00,1,COMPLETED,Window seat
89,412,2,12/23/2015,20:30,4,CONFIRMED,Quiet area
90,137,21,7/18/2015,21:30,1,CANCELLED,Birthday
91,40,28,5/30/2015,21:45,2,CONFIRMED,Quiet area
92,1852,17,6/11/2015,18:00,2,CONFIRMED,Window seat
93,1149,17,12/31/2015,11:00,8,CONFIRMED,
94,1004,10,7/21/2015,22:15,5,CONFIRMED,Birthday
95,728,22,11/17/2015,15:15,5,CANCELLED,Birthday
96,1282,26,5/12/2015,17:00,1,CANCELLED,Birthday
97,700,8,7/21/2015,21:15,2,CONFIRMED,Quiet area
98,855,17,5/4/2015,20:15,3,COMPLETED,Birthday
99,920,30,10/5/2015,13:15,5,CANCELLED,Window seat
100,1767,19,3/12/2015,15:15,3,COMPLETED,Window seat
101,651,21,2/4/2015,19:00,2,CONFIRMED,Birthday
102,1490,27,1/16/2015,16:45,2,COMPLETED,Birthday
103,312,15,4/7/2015,12:15,4,CONFIRMED,
104,1241,25,10/18/2015,20:15,4,CANCELLED,Window seat
105,736,8,2/10/2015,22:45,1,CONFIRMED,
106,1459,28,11/29/2015,16:15,8,COMPLETED,Quiet area
107,336,16,4/9/2015,14:00,2,COMPLETED,
108,1947,30,7/31/2015,14:15,4,CONFIRMED,
109,1776,6,11/12/2015,18:30,8,COMPLETED,Window seat
110,1590,14,1/22/2015,20:45,6,CANCELLED,Birthday
111,1067,13,2/25/2015,18:45,1,CONFIRMED,Window seat
112,1506,17,1/21/2015,19:45,6,CANCELLED,
113,901,7,7/23/2015,15:30,4,COMPLETED,Window seat
114,1256,14,1/28/2015,22:15,4,COMPLETED,Quiet area
115,369,3,10/27/2015,22:15,2,COMPLETED,Quiet area
116,52,11,4/2/2015,18:15,8,COMPLETED,
117,1417,9,11/29/2015,22:15,5,CANCELLED,
118,1447,3,8/19/2015,21:30,2,CONFIRMED,
119,1489,23,9/19/2015,20:15,6,COMPLETED,
120,1574,13,3/29/2015,16:15,1,CONFIRMED,Window seat
121,860,6,6/7/2015,15:45,1,COMPLETED,Window seat
122,1967,4,4/14/2015,11:30,2,CONFIRMED,Quiet area
123,1114,16,1/3/2015,20:45,8,CONFIRMED,Window seat
124,930,19,7/29/2015,18:00,8,CANCELLED,
125,1807,1,10/8/2015,15:15,3,CONFIRMED,Window seat
126,1338,5,6/28/2015,11:15,1,CONFIRMED,
127,679,27,2/14/2015,11:00,4,COMPLETED,Window seat
128,1252,6,12/5/2015,22:15,4,COMPLETED,
129,191,12,6/3/2015,16:30,1,COMPLETED,
130,1728,25,10/9/2015,12:30,6,COMPLETED,Window seat
131,675,4,9/27/2015,17:15,4,CANCELLED,Window seat
132,224,20,10/20/2015,22:00,1,COMPLETED,
133,875,30,11/8/2015,16:30,4,CANCELLED,
134,1899,20,3/8/2015,20:45,5,CANCELLED,Quiet area
135,1810,16,11/9/2015,14:30,2,CONFIRMED,
136,953,4,11/17/2015,12:15,1,CANCELLED,Quiet area
137,684,14,6/29/2015,19:15,1,CONFIRMED,Window seat
138,522,23,2/4/2015,15:30,4,CANCELLED,
139,234,11,12/18/2015,16:30,1,COMPLETED,
140,1705,20,3/31/2015,14:30,1,COMPLETED,Quiet area
141,1633,30,1/19/2015,21:15,8,COMPLETED,Window seat
142,1827,21,10/2/2015,16:45,8,COMPLETED,
143,1158,27,12/14/2015,16:00,4,CONFIRMED,
144,1638,22,7/1/2015,12:15,5,COMPLETED,
145,1284,11,10/1/2015,13:45,6,CONFIRMED,
146,1445,4,6/11/2015,22:00,4,COMPLETED,Quiet area
147,1797,3,5/2/2015,16:45,8,COMPLETED,Window seat
148,359,17,2/27/2015,16:00,4,CONFIRMED,
149,1637,15,9/5/2015,19:15,1,CONFIRMED,Birthday
150,1501,30,9/26/2015,15:30,8,CONFIRMED,
151,421,27,1/19/2015,18:45,2,CANCELLED,
152,637,4,1/23/2015,21:00,1,COMPLETED,Quiet area
153,212,29,9/24/2015,21:30,1,CONFIRMED,
154,1309,25,4/18/2015,16:15,4,CONFIRMED,Birthday
155,1583,9,8/14/2015,21:00,5,COMPLETED,Window seat
156,235,6,1/8/2015,20:00,4,CONFIRMED,
157,556,12,3/14/2015,22:30,5,CANCELLED,Window seat
158,638,6,11/10/2015,16:45,2,CONFIRMED,Window seat
159,1850,1,12/12/2015,11:00,8,COMPLETED,
160,803,3,4/2/2015,22:45,6,CANCELLED,Birthday
161,1675,10,4/12/2015,22:00,5,COMPLETED,
162,1665,5,12/24/2015,18:00,2,COMPLETED,Birthday
163,964,22,4/29/2015,14:15,8,CANCELLED,Birthday
164,803,30,4/4/2015,22:30,5,COMPLETED,Quiet area
165,134,16,9/1/2015,12:30,1,COMPLETED,Quiet area
166,579,28,6/28/2015,20:15,2,CANCELLED,
167,668,13,10/12/2015,21:00,2,COMPLETED,
168,1210,15,7/31/2015,14:15,6,CANCELLED,Window seat
169,136,16,6/24/2015,14:45,6,COMPLETED,
170,1116,26,12/22/2015,14:15,5,CANCELLED,
171,235,24,10/31/2015,20:45,8,COMPLETED,
172,361,4,6/7/2015,17:00,8,CANCELLED,
173,671,22,9/11/2015,21:00,6,CONFIRMED,Window seat
174,1818,27,10/25/2015,21:00,2,CONFIRMED,Window seat
175,799,15,11/12/2015,20:45,4,CONFIRMED,Window seat
176,614,22,10/19/2015,21:30,5,COMPLETED,Birthday
177,1253,3,9/19/2015,17:15,1,COMPLETED,
178,2,12,12/27/2015,19:30,1,CONFIRMED,Birthday
179,482,28,8/10/2015,22:45,1,CANCELLED,Birthday
180,832,23,7/15/2015,17:15,6,CANCELLED,Window seat
181,386,16,10/12/2015,17:30,2,COMPLETED,Window seat
182,276,10,1/6/2015,12:00,2,CONFIRMED,Quiet area
183,1997,22,3/11/2015,12:15,6,CANCELLED,Quiet area
184,1831,28,12/23/2015,20:45,8,CANCELLED,Window seat
185,1131,15,8/19/2015,17:30,6,CONFIRMED,Window seat
186,1184,14,9/13/2015,22:15,1,CANCELLED,
187,1898,9,10/7/2015,20:30,6,CONFIRMED,
188,1444,19,7/8/2015,12:45,8,CANCELLED,
189,953,5,9/22/2015,12:00,4,CONFIRMED,Quiet area
190,1401,21,11/21/2015,19:30,2,CANCELLED,
191,1096,29,1/6/2015,18:45,5,CANCELLED,Quiet area
192,863,19,6/30/2015,15:30,5,CONFIRMED,
193,1489,23,10/16/2015,15:00,4,CANCELLED,Quiet area
194,1174,19,1/27/2015,21:30,2,CANCELLED,
195,993,1,2/12/2015,13:00,4,COMPLETED,Birthday
196,564,5,5/12/2015,11:00,4,CANCELLED,Window seat
197,1350,30,8/17/2015,16:15,2,COMPLETED,Window seat
198,1638,16,9/28/2015,11:30,2,CONFIRMED,Window seat
199,1716,20,9/11/2015,17:45,2,CONFIRMED,Quiet area
200,432,24,10/23/2015,22:30,2,CONFIRMED,Birthday
201,108,25,3/27/2015,18:45,2,COMPLETED,Birthday
202,778,16,12/16/2015,22:45,3,COMPLETED,Birthday
203,25,5,5/28/2015,18:45,6,CANCELLED,Birthday
204,200,17,9/30/2015,21:30,1,COMPLETED,
205,687,30,5/19/2015,15:00,4,COMPLETED,
206,1584,13,12/12/2015,22:15,8,CANCELLED,
207,1065,25,6/22/2015,21:15,3,COMPLETED,
208,1704,1,2/4/2015,11:45,1,CONFIRMED,
209,720,4,4/23/2015,22:30,8,COMPLETED,Window seat
210,1269,2,2/17/2015,11:15,1,CANCELLED,
211,177,23,11/6/2015,13:45,2,CANCELLED,
212,1836,26,2/26/2015,22:15,2,COMPLETED,Birthday
213,1309,15,8/21/2015,15:45,2,CANCELLED,Birthday
214,1599,9,2/7/2015,15:00,2,COMPLETED,Quiet area
215,529,11,5/16/2015,13:45,1,CONFIRMED,Quiet area
216,1250,30,7/21/2015,13:45,3,CONFIRMED,Window seat
217,448,18,11/11/2015,21:00,6,COMPLETED,Birthday
218,150,4,2/6/2015,20:30,1,COMPLETED,
219,305,29,12/1/2015,21:00,8,CONFIRMED,Quiet area
220,1434,9,6/18/2015,17:00,2,CANCELLED,Quiet area
221,828,16,2/5/2015,19:15,6,CONFIRMED,Quiet area
222,249,23,10/18/2015,19:30,8,COMPLETED,Birthday
223,1295,13,11/28/2015,12:30,1,CANCELLED,Birthday
224,1558,3,5/29/2015,21:15,8,CONFIRMED,
225,1354,2,4/8/2015,15:45,6,CONFIRMED,Birthday
226,1813,16,11/20/2015,18:15,2,CONFIRMED,
227,1475,7,10/31/2015,14:45,1,COMPLETED,
228,1024,26,10/1/2015,18:00,4,CONFIRMED,Birthday
229,1614,2,1/22/2015,17:00,5,CONFIRMED,
230,1518,15,10/24/2015,14:00,2,CONFIRMED,Window seat
231,966,16,11/13/2015,11:15,1,CANCELLED,Window seat
232,1296,1,1/26/2015,15:00,2,COMPLETED,
233,1675,6,2/24/2015,12:45,2,CANCELLED,
234,1648,8,4/14/2015,17:30,2,CANCELLED,Quiet area
235,1999,11,12/17/2015,20:15,2,COMPLETED,Window seat
236,1215,25,3/30/2015,16:00,1,CONFIRMED,Birthday
237,345,5,12/23/2015,16:15,6,COMPLETED,Window seat
238,274,30,2/21/2015,21:45,1,CONFIRMED,
239,166,29,1/4/2015,11:15,8,CONFIRMED,
240,853,29,12/22/2015,18:15,4,CONFIRMED,Window seat
241,1072,21,8/19/2015,17:15,4,CONFIRMED,
242,1222,23,4/3/2015,22:45,1,CANCELLED,
243,713,21,8/3/2015,11:15,4,CONFIRMED,
244,1268,17,7/5/2015,19:15,2,COMPLETED,Window seat
245,397,9,2/27/2015,13:45,1,COMPLETED,Window seat
246,111,6,11/27/2015,16:30,1,CONFIRMED,Quiet area
247,1264,9,8/21/2015,11:00,5,CANCELLED,
248,324,30,1/15/2015,18:00,2,CONFIRMED,Window seat
249,1214,24,10/24/2015,16:45,8,CONFIRMED,Birthday
250,668,8,4/27/2015,12:15,2,CANCELLED,Quiet area
251,770,28,4/23/2015,12:45,3,CANCELLED,Quiet area
252,297,2,4/21/2015,20:45,6,CONFIRMED,Quiet area
253,938,12,4/10/2015,21:30,2,COMPLETED,Window seat
254,66,11,12/21/2015,20:00,2,COMPLETED,Window seat
